,CustomerID,Periodicity,total_amount,Recency,threshold_annulation,clusters
0,17850.0,2,5288.630000000009,29,0.02857142857142857,3
9,13047.0,2,3079.1000000000013,30,0.4444444444444444,7
26,12583.0,2,7187.339999999993,24,0.16666666666666666,3
46,13748.0,14,948.2499999999998,30,0.0,0
65,15100.0,61,635.1,15,0.5,0
82,15291.0,4,4596.510000000002,14,0.25,7
86,14688.0,2,5107.379999999999,29,0.2222222222222222,3
105,17809.0,6,4627.619999999998,28,0.2,7
106,15311.0,1,59419.34000000011,8,0.2288135593220339,4
142,16098.0,6,2005.6300000000003,30,0.0,7
155,18074.0,29,489.6,30,0.0,0
168,17420.0,13,598.8300000000002,30,0.0,0
175,16029.0,2,51184.649999999965,10,0.1,4
183,16250.0,16,389.44000000000005,30,0.0,0
197,12431.0,2,6416.389999999999,14,0.16666666666666666,3
211,17511.0,1,88125.37999999996,16,0.32608695652173914,1
235,17548.0,22,-141.48000000000002,30,0.6666666666666666,0
242,13705.0,14,711.8600000000001,29,0.0,0
252,13747.0,365,79.6,30,0.0,0
253,13408.0,1,27832.799999999985,15,0.19480519480519481,6
264,13767.0,1,16945.71000000001,15,0.28846153846153844,6
296,17924.0,10,2894.33,11,0.46153846153846156,7
298,13448.0,2,3465.6700000000023,18,0.4,7
318,15862.0,3,832.88,30,0.0,0
382,15513.0,2,14520.079999999996,22,0.13636363636363635,3
385,12791.0,183,192.60000000000002,30,0.0,0
387,16218.0,5,3054.8700000000013,30,0.125,7
415,14045.0,61,1659.75,30,0.0,7
435,14307.0,3,2995.7200000000007,30,0.0,7
483,17908.0,7,243.2799999999999,30,0.0,0
541,17920.0,1,4204.0999999999885,25,0.0,7
622,18288.0,365,0.0,30,1.0,0
623,12838.0,3,683.1299999999994,30,0.0,0
682,13255.0,27,390.65999999999997,25,0.3333333333333333,0
688,16583.0,27,233.45000000000002,30,0.0,0
702,18085.0,13,689.95,30,0.0,0
711,13758.0,4,3190.550000000001,23,0.0,7
728,13694.0,1,62900.10000000003,11,0.13793103448275862,4
734,15983.0,4,1475.02,17,0.0,7
766,14849.0,1,7904.279999999997,15,0.10714285714285714,3
781,17968.0,5,277.34999999999997,30,0.0,0
868,16210.0,3,21086.299999999996,15,0.0,6
882,17897.0,4,541.0999999999999,24,0.25,0
917,17377.0,1,3925.919999999996,14,0.047619047619047616,7
932,16552.0,22,379.72999999999996,30,0.0,0
937,17181.0,16,239.91999999999996,30,0.0,0
940,17951.0,18,990.8400000000003,11,0.25,0
945,14729.0,6,313.48999999999995,30,0.0,0
1016,12748.0,1,29072.100000000413,8,0.06696428571428571,6
1017,15012.0,3,423.0399999999996,30,0.0,0
1071,12868.0,4,1607.0600000000009,30,0.0,7
1083,17572.0,31,226.75,30,0.0,0
1087,14078.0,6,1049.3700000000003,30,0.0,0
1100,14001.0,10,2030.33,30,0.25,7
1109,12662.0,2,3817.079999999998,22,0.08333333333333333,7
1124,15525.0,3,811.0200000000001,24,0.25,0
1181,14237.0,41,161.00000000000003,30,0.0,0
1190,17905.0,11,800.24,9,0.0,0
1213,15485.0,5,2575.0,30,0.0,7
1236,12433.0,1,13375.869999999992,22,0.0,3
1309,16955.0,15,493.67,17,0.2,0
1315,15350.0,73,115.65,30,0.0,0
1320,15605.0,6,1198.23,30,0.0,0
1332,18144.0,9,2888.750000000001,17,0.0,7
1335,15922.0,31,363.6000000000001,29,0.5,0
1346,14594.0,7,379.82999999999987,29,0.0,0
1377,15165.0,14,487.75,30,0.0,0
1404,14911.0,1,133007.12999999986,8,0.1862348178137652,1
1425,16456.0,4,2158.3700000000003,30,0.0,7
1441,17841.0,1,40340.78000000009,12,0.26627218934911245,4
1443,18289.0,1,5521.140000000006,30,0.0,3
1970,18290.0,365,0.0,30,1.0,0
1971,18291.0,365,0.0,30,1.0,0
1972,18292.0,365,0.0,30,1.0,0
1973,12472.0,1,6229.480000000004,26,0.46153846153846156,3
1987,18293.0,365,0.0,30,1.0,0
1988,18294.0,365,0.0,30,1.0,0
1989,17346.0,1,2611.58,16,0.0625,7
2024,18295.0,365,0.0,30,1.0,0
2025,18296.0,365,0.0,30,1.0,0
2026,18297.0,365,0.0,30,1.0,0
2027,18298.0,183,2.9699999999999998,30,0.0,0
2029,17643.0,46,101.55000000000001,30,0.0,0
2102,18299.0,365,99.75,30,0.0,0
2103,17873.0,8,1764.3600000000004,30,0.16666666666666666,7
2112,13093.0,3,7741.47,15,0.38461538461538464,3
2125,12921.0,1,16389.740000000016,23,0.26,6
2140,13468.0,2,5656.750000000002,15,0.0975609756097561,3
2158,17760.0,15,287.59,30,0.0,0
2169,18300.0,183,6.7,30,0.0,0
2171,16928.0,2,2781.499999999998,30,0.10526315789473684,7
2177,16048.0,41,243.69000000000005,30,0.3333333333333333,0
2185,16274.0,6,357.94999999999993,30,0.0,0
2252,14496.0,20,538.8100000000001,30,0.0,0
2257,14696.0,3,2070.97,22,0.2222222222222222,7
2275,16539.0,9,1388.81,15,0.0,7
2296,17025.0,41,357.77,30,0.0,0
2301,13777.0,2,25748.349999999984,8,0.1951219512195122,6
2329,17690.0,2,4748.450000000001,21,0.0625,7
2346,12947.0,4,1407.29,16,0.45454545454545453,7
2365,17460.0,10,452.63000000000005,29,0.25,0
2366,18229.0,3,7276.900000000001,23,0.0,3
2373,14142.0,17,311.81000000000006,30,0.0,0
2395,17069.0,3,2655.2200000000007,8,0.3076923076923077,7
2406,18301.0,365,0.0,30,1.0,0
2407,13065.0,27,205.85999999999999,30,0.0,0
2421,14606.0,1,11713.850000000064,9,0.2734375,3
2461,18302.0,1,6915.650000000008,30,0.0,3
