,CustomerID,Periodicity,Recency,threshold_annulation,purchase_amount,purchasing
0,17850.0,2,29,0.02857142857142857,139.12,1
7,17850.0,2,29,0.02857142857142857,22.200000000000003,1
9,13047.0,2,30,0.4444444444444444,278.73,1
21,13047.0,2,30,0.4444444444444444,70.05000000000001,1
25,13047.0,2,30,0.4444444444444444,17.85,1
26,12583.0,2,24,0.16666666666666666,855.86,1
46,13748.0,14,30,0.0,204.0,1
49,17850.0,2,29,0.02857142857142857,259.86,1
65,15100.0,61,15,0.5,350.4,1
82,15291.0,4,14,0.25,328.8,1
86,14688.0,2,29,0.2222222222222222,444.98,1
105,17809.0,6,28,0.2,34.8,1
106,15311.0,1,8,0.2288135593220339,449.97999999999996,1
142,16098.0,6,30,0.0,430.59999999999997,1
154,15311.0,1,8,0.2288135593220339,-4.65,0
155,18074.0,29,30,0.0,489.6,1
168,17420.0,13,30,0.0,130.85,1
175,16029.0,2,10,0.1,508.20000000000005,1
178,16029.0,2,10,0.1,3193.92,1
183,16250.0,16,30,0.0,226.14,1
197,12431.0,2,14,0.16666666666666666,358.25,1
211,17511.0,1,16,0.32608695652173914,1825.74,1
235,17548.0,22,30,0.6666666666666666,-141.48000000000002,0
242,13705.0,14,29,0.0,318.14000000000004,1
252,13747.0,365,30,0.0,79.6,1
253,13408.0,1,15,0.19480519480519481,1024.6800000000003,1
264,13767.0,1,15,0.28846153846153844,507.8800000000001,1
278,17850.0,2,29,0.02857142857142857,376.36000000000007,1
296,17924.0,10,11,0.46153846153846156,279.0,1
298,13448.0,2,18,0.4,426.56000000000006,1
317,13448.0,2,18,0.4,17.4,1
318,15862.0,3,30,0.0,354.2299999999999,1
382,15513.0,2,22,0.13636363636363635,357.0,1
385,12791.0,183,30,0.0,192.60000000000002,1
387,16218.0,5,30,0.125,471.29999999999995,1
415,14045.0,61,30,0.0,326.4,1
416,17850.0,2,29,0.02857142857142857,353.14000000000004,1
435,14307.0,3,30,0.0,783.1099999999999,1
483,17908.0,7,30,0.0,243.2799999999999,1
541,17920.0,1,25,0.0,514.4099999999999,1
622,18288.0,365,30,1.0,0.0,0
623,12838.0,3,30,0.0,390.78999999999985,1
682,13255.0,27,25,0.3333333333333333,225.7,1
688,16583.0,27,30,0.0,233.45000000000002,1
702,18085.0,13,30,0.0,303.90000000000003,1
711,13758.0,4,23,0.0,362.45000000000005,1
728,13694.0,1,11,0.13793103448275862,842.12,1
734,15983.0,4,17,0.0,440.89,1
766,14849.0,1,15,0.10714285714285714,295.53999999999996,1
780,14849.0,1,15,0.10714285714285714,17.4,1
781,17968.0,5,30,0.0,277.34999999999997,1
866,14849.0,1,15,0.10714285714285714,42.9,1
868,16210.0,3,15,0.0,2474.7399999999993,1
882,17897.0,4,24,0.25,165.89,1
917,17377.0,1,14,0.047619047619047616,223.90000000000003,1
932,16552.0,22,30,0.0,95.29,1
937,17181.0,16,30,0.0,155.52,1
939,17897.0,4,24,0.25,-25.5,0
940,17951.0,18,11,0.25,295.50000000000006,1
945,14729.0,6,30,0.0,313.48999999999995,1
1016,12748.0,1,8,0.06696428571428571,4.95,1
1017,15012.0,3,30,0.0,191.0599999999999,1
1071,12868.0,4,30,0.0,203.3,1
1083,17572.0,31,30,0.0,70.80000000000001,1
1087,14078.0,6,30,0.0,136.24,1
1100,14001.0,10,30,0.25,301.24,1
1109,12662.0,2,22,0.08333333333333333,261.48,1
1124,15525.0,3,24,0.25,313.9299999999999,1
1181,14237.0,41,30,0.0,161.00000000000003,1
